timeSec,estimatedX,estimatedY,estimatedHeadingDeg,truthX,truthY,truthHeadingDeg,translationErrorMeters,headingErrorDegrees
0.002,0.00000,0.00000,0.040,-0.04365,-0.15346,1.749,0.15955,1.709
0.017,0.00000,0.00000,0.039,-0.05114,-0.31439,-7.384,0.31853,7.423
0.039,0.00000,0.00000,0.039,-0.05249,-0.32472,-7.466,0.32893,7.505
0.059,0.00000,0.00000,0.039,-0.05254,-0.32514,-7.469,0.32936,7.508
0.079,0.00000,0.00000,0.041,-0.05255,-0.32519,-7.470,0.32941,7.511
0.097,0.00000,0.00000,0.041,-0.05255,-0.32519,-7.470,0.32941,7.511
0.119,0.00000,0.00000,0.040,-0.05255,-0.32519,-7.470,0.32941,7.510
0.138,0.00000,0.00000,0.039,-0.05255,-0.32519,-7.470,0.32941,7.509
0.156,0.00000,0.00000,0.039,-0.05255,-0.32519,-7.470,0.32941,7.509
0.179,0.00000,0.00000,0.038,-0.05255,-0.32519,-7.470,0.32941,7.508
0.199,0.00000,0.00000,0.038,-0.05255,-0.32519,-7.470,0.32941,7.508
0.215,0.00000,0.00000,0.038,-0.05255,-0.32519,-7.470,0.32941,7.507
0.238,0.00000,0.00000,0.036,-0.05255,-0.32519,-7.470,0.32941,7.506
0.255,0.00000,0.00000,0.036,-0.05255,-0.32519,-7.470,0.32941,7.506
0.275,0.00000,0.00000,0.035,-0.05255,-0.32519,-7.470,0.32941,7.505
0.295,0.00000,0.00000,0.033,-0.05255,-0.32519,-7.470,0.32941,7.503
0.319,0.00000,0.00000,0.033,-0.05255,-0.32519,-7.470,0.32941,7.503
0.337,0.00000,0.00000,0.031,-0.05255,-0.32519,-7.470,0.32941,7.501
0.356,0.00000,0.00000,0.032,-0.05255,-0.32519,-7.470,0.32941,7.501
0.380,0.00000,0.00000,0.035,-0.05255,-0.32519,-7.470,0.32941,7.504
0.395,0.00000,0.00000,0.036,-0.05255,-0.32519,-7.470,0.32941,7.505
0.416,0.00000,0.00000,0.035,-0.05255,-0.32519,-7.470,0.32941,7.505
0.435,0.00000,0.00000,0.036,-0.05255,-0.32519,-7.470,0.32941,7.506
0.455,0.00000,0.00000,0.038,-0.05255,-0.32519,-7.470,0.32941,7.508
0.479,0.00000,0.00000,0.040,-0.05255,-0.32519,-7.470,0.32941,7.510
0.499,0.00000,0.00000,0.039,-0.05255,-0.32519,-7.470,0.32941,7.509
0.518,0.00000,0.00000,0.041,-0.05255,-0.32519,-7.470,0.32941,7.510
0.538,0.00000,0.00000,0.041,-0.05255,-0.32519,-7.470,0.32941,7.511
0.555,0.00000,0.00000,0.043,-0.05255,-0.32519,-7.470,0.32941,7.513
0.578,0.00000,0.00000,0.041,-0.05255,-0.32519,-7.470,0.32941,7.511
0.595,0.00000,0.00000,0.042,-0.05255,-0.32519,-7.470,0.32941,7.512
0.615,0.00000,0.00000,0.045,-0.05255,-0.32519,-7.470,0.32941,7.515
0.635,0.00000,0.00000,0.045,-0.05255,-0.32519,-7.470,0.32941,7.514
0.660,0.00000,0.00000,0.044,-0.05255,-0.32519,-7.470,0.32941,7.513
0.679,0.00000,0.00000,0.042,-0.05255,-0.32519,-7.470,0.32941,7.512
0.695,0.00000,0.00000,0.044,-0.05255,-0.32519,-7.470,0.32941,7.514
0.715,0.00000,0.00000,0.044,-0.05255,-0.32519,-7.470,0.32941,7.514
0.740,0.00000,0.00000,0.042,-0.05255,-0.32519,-7.470,0.32941,7.512
0.759,0.00000,0.00000,0.041,-0.05255,-0.32519,-7.470,0.32941,7.510
0.779,0.00000,0.00000,0.042,-0.05255,-0.32519,-7.470,0.32941,7.511
0.798,0.00000,0.00000,0.040,-0.05255,-0.32519,-7.470,0.32941,7.510
0.819,0.00000,0.00000,0.039,-0.05255,-0.32519,-7.470,0.32941,7.509
0.839,0.00000,0.00000,0.041,-0.05255,-0.32519,-7.470,0.32941,7.511
0.855,0.00000,0.00000,0.043,-0.05255,-0.32519,-7.470,0.32941,7.513
0.879,0.00000,0.00000,0.043,-0.05255,-0.32519,-7.470,0.32941,7.513
0.897,0.00000,0.00000,0.043,-0.05255,-0.32519,-7.470,0.32941,7.513
0.917,0.00000,0.00000,0.044,-0.05255,-0.32519,-7.470,0.32941,7.513
0.936,0.00000,0.00000,0.043,-0.05255,-0.32519,-7.470,0.32941,7.513
0.959,0.00000,0.00000,0.040,-0.05255,-0.32519,-7.470,0.32941,7.510
0.978,0.00000,0.00000,0.040,-0.05255,-0.32519,-7.470,0.32941,7.510
0.998,0.00000,0.00000,0.040,-0.05255,-0.32519,-7.470,0.32941,7.509
1.019,0.00000,0.00000,0.039,-0.05255,-0.32519,-7.470,0.32941,7.509
1.038,0.00000,0.00000,0.039,-0.05206,-0.32526,-7.470,0.32940,7.509
1.059,0.00000,0.00000,0.039,-0.05004,-0.32552,-7.470,0.32934,7.508
